Date,Simulated Outflow
20160220,4
20160221,4
20160222,4
20160223,4
20160224,4
20160225,4
20160226,4
20160227,4
20160228,4
20160229,4
20160301,4
20160302,4
20160303,4
20160304,4
20160305,4
20160306,4
20160307,4
20160308,4
20160309,4
20160310,4
20160311,4
20160312,4
20160313,4
20160314,4
20160315,4
20160316,4
20160317,4
20160318,4
20160319,4
20160320,4
20160321,4
20160322,4
20160323,4
20160324,4
20160325,4
20160326,4
20160327,4
20160328,4
20160329,4
20160330,4
20160331,4
20160401,4
20160402,4
20160403,4
20160404,4
20160405,4
20160406,4
20160407,4
20160408,4
20160409,4
20160410,4
20160411,3
20160412,3
20160413,3
20160414,3
20160415,3
20160416,3
20160417,3
20160418,3
20160419,3
20160420,3
20160421,3
20160422,3
20160423,3
20160424,3
20160425,3
20160426,54
20160427,141
20160428,113
20160429,3
20160430,3
20160501,3
20160502,3
20160503,3
20160504,3
20160505,3
20160506,3
20160507,3
20160508,3
20160509,3
20160510,3
20160511,3
20160512,3
20160513,3
20160514,3
20160515,3
20160516,3
20160517,3
20160518,3
20160519,3
20160520,3
20160521,3
20160522,3
20160523,3
20160524,3
20160525,3
20160526,3
20160527,3
20160528,3
20160529,3
20160530,3
20160531,3
20160601,3
20160602,3
20160603,3
20160604,3
20160605,3
20160606,3
20160607,3
20160608,4
20160609,4
20160610,4
20160611,4
20160612,4
20160613,4
20160614,4
20160615,4
20160616,4
20160617,4
20160618,4
20160619,4
20160620,4
20160621,4
20160622,4
20160623,4
20160624,4
20160625,4
20160626,4
20160627,4
20160628,4
20160629,4
20160630,4
20160701,4
20160702,4
20160703,4
20160704,4
20160705,4
20160706,4
20160707,4
20160708,4
20160709,4
20160710,4
20160711,4
20160712,4
20160713,4
20160714,4
20160715,4
20160716,4
20160717,4
20160718,4
20160719,4
20160720,4
20160721,4
20160722,4
20160723,4
20160724,4
20160725,4
20160726,4
20160727,4
20160728,4
20160729,4
20160730,4
20160731,4
20160801,4
20160802,4
20160803,4
20160804,4
20160805,4
20160806,4
20160807,4
20160808,4
20160809,4
20160810,4
20160811,4
20160812,4
20160813,4
20160814,4
20160815,4
20160816,4
20160817,4
20160818,5.359
20160819,54.2
20160820,53.67
20160821,51.6
20160822,51.45
20160823,52.51
20160824,52.88
20160825,50.05
20160826,52.38
20160827,50.99
20160828,50.45
20160829,49.39
20160830,49.03
20160831,111.2
20160901,60.54
20160902,51.05
20160903,48.7
20160904,48.59
20160905,47.53
20160906,46.76
20160907,47.96
20160908,45.93
20160909,46.41
20160910,50.53
20160911,44.49
20160912,43.79
20160913,41.03
20160914,43.89
20160915,44.61
20160916,43.27
20160917,41.94
20160918,41.89
20160919,41.26
20160920,39.65
20160921,39.51
20160922,38.86
20160923,38.24
20160924,38.49
20160925,37.23
20160926,38.21
20160927,33.89
20160928,33.75
20160929,93.99
20160930,46.08
20161001,35.7
